dice_index depth
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.4 3
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
0.6666666666666666 2
